2021-10-02 09:51:51,678 Kiwoom initializing...
2021-10-02 09:52:14,990 Kiwoom log in success
2021-10-02 09:52:14,991 Account information
2021-10-02 09:52:15,507 Deposit information (Futures)
2021-10-02 09:52:15,585 Portfolio information (Futures) (No item found)
2021-10-02 09:52:22,510 Portfolio information (Futures) (No item found)
2021-10-02 09:52:27,778 Order history information
2021-10-02 09:52:30,256 Deposit information (Futures)
2021-10-02 09:52:49,598 F 202112 trading information begins to be monitored
2021-10-02 09:53:09,973 test1 button clicked
2021-10-02 09:53:36,678 test2 button clicked
2021-10-02 09:59:51,751 Kiwoom initializing...
2021-10-02 09:59:58,138 Kiwoom log in success
2021-10-02 09:59:58,139 Account information
2021-10-02 09:59:58,658 Deposit information (Futures)
2021-10-02 09:59:58,725 Portfolio information (Futures) (No item found)
2021-10-02 10:00:06,309 F 202112 trading information begins to be monitored
2021-10-02 10:00:07,425 test1 button clicked
2021-10-02 10:02:06,687 Go Charting F 202112
2021-10-02 10:18:49,471 Kiwoom initializing...
2021-10-02 10:18:55,249 Kiwoom log in success
2021-10-02 10:18:55,250 Account information
2021-10-02 10:18:55,766 Deposit information (Futures)
2021-10-02 10:18:55,835 Portfolio information (Futures) (No item found)
2021-10-02 10:18:59,242 F 202112 trading information begins to be monitored
2021-10-02 10:18:59,242 Go Charting F 202112
2021-10-02 10:19:03,343 test1 button clicked
2021-10-02 10:19:03,344 item.transaction_time
2021-10-02 10:19:03,854 item.transaction_time
2021-10-02 10:19:04,356 item.transaction_time
2021-10-02 10:19:04,866 item.transaction_time
2021-10-02 10:19:05,370 item.transaction_time
2021-10-02 10:19:05,872 item.transaction_time
2021-10-02 10:19:06,382 item.transaction_time
2021-10-02 10:19:06,887 item.transaction_time
2021-10-02 10:19:07,397 item.transaction_time
2021-10-02 10:19:07,909 item.transaction_time
2021-10-02 10:19:08,412 item.transaction_time
2021-10-02 10:19:08,922 item.transaction_time
2021-10-02 10:19:09,434 item.transaction_time
2021-10-02 10:19:09,944 item.transaction_time
2021-10-02 10:19:10,449 item.transaction_time
2021-10-02 10:19:10,958 item.transaction_time
2021-10-02 10:19:11,464 item.transaction_time
2021-10-02 10:19:11,973 item.transaction_time
2021-10-02 10:19:12,490 item.transaction_time
2021-10-02 10:19:13,006 item.transaction_time
2021-10-02 10:19:13,552 item.transaction_time
2021-10-02 10:19:14,061 item.transaction_time
2021-10-02 10:19:14,575 item.transaction_time
2021-10-02 10:19:15,080 item.transaction_time
2021-10-02 10:19:19,387 Kiwoom initializing...
2021-10-02 10:19:24,704 Kiwoom log in success
2021-10-02 10:19:24,705 Account information
